000	10:1,11:1,48:2,49:2,50:1,59:1,80:1,87:1
01	29:12,3:1,34:12,38:13
04	38:1
053fr	29:1,34:1,38:1
0686859	29:1
072xfr	29:1,34:1,38:1
0nd	29:1,34:1,38:1
10	10:1,19:3,21:1,27:1,3:1,38:1,47:1,56:4,66:1,68:1,71:7,85:1,87:1,89:1,9:1,94:1
100	11:2,59:1,85:1
1000	2:1,29:1
100go	11:1
100mo	11:2
1024	29:1
1024600	55:1
105	5:1
1080	45:1
1080p	11:1,67:1,83:1,86:1,98:1
109	74:1
10h	2:1
11	37:1,55:1,66:1,74:3
110	47:1,50:1,59:1
112	74:1
112mm	13:1
113	74:1
119	55:1
12	3:1,34:1,35:1,38:1,59:1,74:1,8:1,91:1
120	74:1
120euro	94:1
128	34:1,64:3
1280	63:1
1280x80	56:1
128go	67:1
129	3:1
129euro	94:1
13	34:1,61:1,66:1,85:1,86:1,91:2
1300mah	74:2
136	16:2
1366	69:1
13mpx	7:1
14	69:3
1400	7:1,73:1
15	10:1,2:1,28:1,3:2,34:1,59:1,66:1,67:1,8:1
150	55:1
1500	37:1,94:1
16	55:1,56:1,94:2
1600mhz	29:1
163	63:1
16go	13:1,69:1,7:1
16mpx	21:1
17	92:1
170	28:1,3:1
1700	7:1
180gb	29:1,34:1,38:1
184	11:1
185	48:1
18h	23:1
19	16:1,29:1,34:1,35:1,38:1,39:1,45:1,61:1,7:1,85:1
1920	45:1,67:1
193101	29:2
193187	34:2
193231	38:2
196	55:1
198g	63:1
1992	15:1
19euro	94:3
1ghz	55:1,69:1,7:1
1go	55:1
1mpx	55:1
1to	29:1
20	11:1,23:2,28:1,29:3,34:3,38:3,97:1
200	11:1
2000	91:1
2002	15:1
2007	49:1,91:1
2008	91:1
2009	5:1,8:1
2010	14:1
2011	1:1,38:2,5:1
2012	15:1,16:4,26:1,35:1,39:1,83:2,86:1,92:1
2013	11:2,23:1,29:10,34:10,38:10,39:1,61:1,70:1,83:2,88:2,97:1
2014	29:14,34:16,38:14
2015	75:2
2018	91:1
20euro	94:3
20hz	97:1
21	15:1,34:1
2140	86:1
214g	13:1
216	16:1
22	22:1
23	16:1,27:1
230	11:1
2300	45:1
231	48:1
236	39:1
24	29:2,34:2,36:2,38:2,48:1,66:1,85:1
241	63:1
242	11:1
25	29:1,34:1,38:1,54:1,66:1,87:3
250	49:2,80:1
254	89:1
26	41:1
264	89:1
268	48:1
27	29:1,34:1,38:1,5:1,74:1
279	94:1
28	92:1
289	94:1
2977	32:1
299	56:1,89:1
2eme	16:1
2ghz	7:1
2go	11:1,63:1,69:1,7:1
2od	29:1,34:1,38:1
2oe	29:1,34:1,38:1
2x	29:1,34:1,38:1
30	16:1,29:5,32:1,34:5,38:5,47:1,48:1,54:1,59:1,79:1,85:2,9:1
300	52:1
3000	5:1
309	94:1
30min	2:1
31	22:1,6:1
32	29:1,34:1,38:1,45:1
320	11:1
328dpi	71:1
329	69:1
33	11:1,29:1,34:1,38:1,59:1
3300mah	67:1
335	16:1
349	94:1
35	16:1,28:1,34:1
350	5:2
358g	55:1
35ghz	50:1
36	21:1
360	52:1
37euro	83:1
386	11:1
39	11:3
399	13:1,63:1
3d	11:2,12:1,13:1,21:2,88:1,90:1
3dmark	88:4
3eme	16:1,22:1
3g	64:1,85:2
3to	94:1
3v	33:1
40	11:1,50:1,52:1
400	2:1
4050	63:1
406	16:1
4096	34:1
41	13:2
42	11:1
42500	38:1
4270	55:1
45	21:1
450	29:1
468	45:1
47eme	47:1
49	83:1
499	13:1,89:1
499euro	73:1
49ers	47:2
4africa	62:1
4afrika	62:1
4e	27:1
4f838b6	29:1,34:1,38:1
4go	7:1,74:2
4h	2:1,69:1
4s	94:1
4x	23:1
50	13:1,28:1
500	11:1,47:1,48:1
500e	47:1
50go	11:1
512	62:1
512mo	7:1,74:1
549euro	94:1
55	82:1
550	73:1
57	21:1
58	24:1,38:1,74:1
